,Step,Time,xb,yb,zb,Bx,By,Bz
0,0,0.0,1e-05,0.007,0,0.0,0.0,0
1,1,0.1,1e-05,0.007,0,-0.0002632454877766,0.003645204558526,0
2,2,0.2,1e-05,0.007,0,-0.0005298150131257,0.007340280005294,0
3,3,0.3,1e-05,0.007,0,-0.0008002540790216,0.0110944146670142,0
4,4,0.4,1e-05,0.007,0,-0.001074787268475,0.0149124859682136,0
5,5,0.5,1e-05,0.007,0,-0.0013532404753034,0.0187939690618242,0
6,6,0.6,1e-05,0.007,0,-0.0016356823743797,0.022742572636223,0
7,7,0.7,1e-05,0.007,0,-0.0019221240244189,0.026761362834317,0
8,8,0.7999999999999999,1e-05,0.007,0,-0.0022123862876936,0.0308504650853553,0
9,9,0.8999999999999999,1e-05,0.007,0,-0.0025064340860603,0.035011890678005,0
10,10,1.0,1e-05,0.007,0,-0.0028040056557812,0.0392439257104957,0
11,11,1.1,1e-05,0.007,0,-0.0031051738814363,0.0435500247592635,0
12,12,1.2,1e-05,0.007,0,-0.0034098414795749,0.0479308045840309,0
13,13,1.3,1e-05,0.007,0,-0.0037178532084973,0.052385767567365,0
14,14,1.4,1e-05,0.007,0,-0.0040292903476312,0.0569178500752045,0
15,15,1.5,1e-05,0.007,0,-0.0043440184899409,0.0615266429438676,0
16,16,1.6,1e-05,0.007,0,-0.0046620558419335,0.0662135935140643,0
17,17,1.7,1e-05,0.007,0,-0.0049833652655609,0.0709799426600049,0
18,18,1.8,1e-05,0.007,0,-0.0053079349281801,0.075826623657141,0
19,19,1.900000000000001,1e-05,0.007,0,-0.00563572612103,0.0807542996688465,0
20,20,2.0,1e-05,0.007,0,-0.0059666690695612,0.0857635827195838,0
21,21,2.100000000000001,1e-05,0.007,0,-0.0063007410947819,0.090855330931049,0
22,22,2.200000000000001,1e-05,0.007,0,-0.0066379310278347,0.0960307885587359,0
23,23,2.300000000000001,1e-05,0.007,0,-0.0069781825836673,0.1012903111171109,0
24,24,2.400000000000001,1e-05,0.007,0,-0.0073214654049295,0.1066372281826114,0
25,25,2.500000000000001,1e-05,0.007,0,-0.0076675804716185,0.1120692967084844,0
26,26,2.600000000000001,1e-05,0.007,0,-0.0080166807013766,0.1175914764182352,0
27,27,2.700000000000001,1e-05,0.007,0,-0.0083686260392932,0.1232029079883725,0
28,28,2.800000000000001,1e-05,0.007,0,-0.0087234638568747,0.1289041608828611,0
29,29,2.900000000000001,1e-05,0.007,0,-0.0090809936812437,0.1346976203575807,0
30,30,3.000000000000001,1e-05,0.007,0,-0.0094412296470118,0.1405852990705073,0
31,31,3.100000000000001,1e-05,0.007,0,-0.0098041042205202,0.1465649534244023,0
32,32,3.200000000000002,1e-05,0.007,0,-0.0101695011763966,0.1526419186541194,0
33,33,3.300000000000002,1e-05,0.007,0,-0.0105372824561171,0.1588153192928547,0
34,34,3.400000000000002,1e-05,0.007,0,-0.0109076056104864,0.1650865510847989,0
35,35,3.500000000000002,1e-05,0.007,0,-0.0112805024146891,0.1714560752532119,0
36,36,3.600000000000002,1e-05,0.007,0,-0.0116556595088826,0.1779250326978075,0
37,37,3.700000000000002,1e-05,0.007,0,-0.0120329427573029,0.1844977860975469,0
38,38,3.800000000000002,1e-05,0.007,0,-0.0124124396430691,0.1911722768421001,0
39,39,3.900000000000002,1e-05,0.007,0,-0.0127943222608962,0.1979508573919067,0
40,40,4.000000000000002,1e-05,0.007,0,-0.0131784619444893,0.2048316222918758,0
41,41,4.100000000000001,1e-05,0.007,0,-0.0135645563549285,0.2118210776454512,0
42,42,4.200000000000001,1e-05,0.007,0,-0.0139522073478327,0.2189189898496892,0
43,43,4.300000000000001,1e-05,0.007,0,-0.0143417246698006,0.2261277132785448,0
44,44,4.4,1e-05,0.007,0,-0.0147331689807188,0.2334454430865036,0
45,45,4.5,1e-05,0.007,0,-0.0151264004140606,0.2408748395880843,0
46,46,4.6,1e-05,0.007,0,-0.0155214005194798,0.2484173278272973,0
47,47,4.699999999999999,1e-05,0.007,0,-0.0159181876129027,0.2560728954138021,0
48,48,4.799999999999999,1e-05,0.007,0,-0.0163164483890336,0.2638434004457566,0
49,49,4.899999999999999,1e-05,0.007,0,-0.0167157382361948,0.2717335436592846,0
50,50,4.999999999999998,1e-05,0.007,0,-0.0171160382745694,0.2797447471482314,0
51,51,5.099999999999998,1e-05,0.007,0,-0.0171851296401625,0.2823428316604255,0
52,52,5.199999999999998,1e-05,0.007,0,-0.0172333719314465,0.2842773128463215,0
53,53,5.299999999999997,1e-05,0.007,0,-0.0172705466921465,0.2858280180291413,0
54,54,5.399999999999997,1e-05,0.007,0,-0.0173007386214861,0.287124090152049,0
55,55,5.499999999999996,1e-05,0.007,0,-0.0173261103215915,0.2882378293956834,0
56,56,5.599999999999996,1e-05,0.007,0,-0.0173479624902152,0.2892143700513513,0
57,57,5.699999999999996,1e-05,0.007,0,-0.0173671355956884,0.2900839237399016,0
58,58,5.799999999999995,1e-05,0.007,0,-0.0173842006053358,0.2908677550060211,0
59,59,5.899999999999995,1e-05,0.007,0,-0.0173995634390163,0.2915814117285815,0
60,60,5.999999999999995,1e-05,0.007,0,-0.0174135249800766,0.2922366030248356,0
61,61,6.099999999999994,1e-05,0.007,0,-0.0174263155505594,0.2928423546358706,0
62,62,6.199999999999994,1e-05,0.007,0,-0.0174381151015784,0.2934057529038356,0
63,63,6.299999999999994,1e-05,0.007,0,-0.0174490659408329,0.293932445499247,0
64,64,6.399999999999993,1e-05,0.007,0,-0.0174592817101119,0.2944269970961971,0
65,65,6.499999999999993,1e-05,0.007,0,-0.017468854225033,0.2948931525965532,0
66,66,6.599999999999993,1e-05,0.007,0,-0.0174778586798757,0.2953340307909025,0
67,67,6.699999999999992,1e-05,0.007,0,-0.0174863574771499,0.2957522632631528,0
68,68,6.799999999999992,1e-05,0.007,0,-0.0174944029790566,0.2961500937116364,0
69,69,6.899999999999991,1e-05,0.007,0,-0.0175020394935691,0.2965294509426645,0
70,70,6.999999999999991,1e-05,0.007,0,-0.0175093047617831,0.2968920047048108,0
71,71,7.099999999999991,1e-05,0.007,0,-0.0175162311289763,0.2972392097250305,0
72,72,7.19999999999999,1e-05,0.007,0,-0.0175228465011937,0.2975723409287102,0
73,73,7.29999999999999,1e-05,0.007,0,-0.0175291751386166,0.2978925217947184,0
74,74,7.39999999999999,1e-05,0.007,0,-0.017535238317111,0.2982007474831574,0
75,75,7.499999999999989,1e-05,0.007,0,-0.0175410548833592,0.2984979041299703,0
76,76,7.599999999999989,1e-05,0.007,0,-0.0175466417165663,0.298784785122426,0
77,77,7.699999999999989,1e-05,0.007,0,-0.0175520140929629,0.2990621045198458,0
78,78,7.799999999999988,1e-05,0.007,0,-0.0175571859520188,0.2993305076874779,0
79,79,7.899999999999988,1e-05,0.007,0,-0.0175621700806446,0.2995905795676437,0
80,80,7.999999999999988,1e-05,0.007,0,-0.017566978242518,0.2998428512607536,0
81,81,8.099999999999987,1e-05,0.007,0,-0.0175716212770661,0.3000878055206966,0
82,82,8.199999999999987,1e-05,0.007,0,-0.0175761091825733,0.3003258815512223,0
83,83,8.299999999999986,1e-05,0.007,0,-0.0175804511903242,0.3005574793112871,0
84,84,8.399999999999986,1e-05,0.007,0,-0.017584655832146,0.3007829634440644,0
85,85,8.499999999999986,1e-05,0.007,0,-0.0175887310022863,0.3010026668965543,0
86,86,8.599999999999985,1e-05,0.007,0,-0.0175926840142964,0.3012168942615868,0
87,87,8.699999999999985,1e-05,0.007,0,-0.0175965216522305,0.3014259248476034,0
88,88,8.799999999999985,1e-05,0.007,0,-0.0176002502164813,0.301630015474152,0
89,89,8.899999999999984,1e-05,0.007,0,-0.0176038755645868,0.3018294029927111,0
90,90,8.999999999999984,1e-05,0.007,0,-0.0176074031472534,0.3020243065333821,0
91,91,9.099999999999984,1e-05,0.007,0,-0.0176108380403995,0.3022149294745661,0
92,92,9.199999999999983,1e-05,0.007,0,-0.0176141849732765,0.302401461134542,0
93,93,9.299999999999985,1e-05,0.007,0,-0.0176174483534061,0.3025840781949261,0
94,94,9.399999999999984,1e-05,0.007,0,-0.0176206322887793,0.3027629458848158,0
95,95,9.499999999999982,1e-05,0.007,0,-0.017623740608281,0.3029382189695497,0
96,96,9.599999999999982,1e-05,0.007,0,-0.0176267768810148,0.3031100425953981,0
97,97,9.699999999999982,1e-05,0.007,0,-0.0176297444351684,0.3032785530364664,0
98,98,9.79999999999998,1e-05,0.007,0,-0.0176326463765848,0.3034438783777256,0
99,99,9.89999999999998,1e-05,0.007,0,-0.0176354856068649,0.30360613915151,0
100,100,9.99999999999998,1e-05,0.007,0,-0.0176382648406555,0.3037654489315842,0
101,101,10.09999999999998,1e-05,0.007,0,-0.0173745305011486,0.3001385380059844,0
102,102,10.19999999999998,1e-05,0.007,0,-0.0171106778998872,0.2964856329978159,0
103,103,10.29999999999998,1e-05,0.007,0,-0.016845310969467,0.2928026279015605,0
104,104,10.39999999999998,1e-05,0.007,0,-0.0165784268861095,0.2890945880681606,0
105,105,10.49999999999998,1e-05,0.007,0,-0.0163100088787722,0.2853628004215291,0
106,106,10.59999999999998,1e-05,0.007,0,-0.0160395035943894,0.2815994284657792,0
107,107,10.69999999999998,1e-05,0.007,0,-0.0157673208929426,0.2778107817390137,0
108,108,10.79999999999998,1e-05,0.007,0,-0.0154929133280583,0.2739883407335466,0
109,109,10.89999999999998,1e-05,0.007,0,-0.0152166938436289,0.2701381088875643,0
110,110,10.99999999999998,1e-05,0.007,0,-0.014938575964652,0.26625845503784,0
111,111,11.09999999999998,1e-05,0.007,0,-0.0146586211271143,0.2623501156616294,0
112,112,11.19999999999998,1e-05,0.007,0,-0.0143763758241736,0.2584057202036993,0
113,113,11.29999999999998,1e-05,0.007,0,-0.0140920716028474,0.2544282048677659,0
114,114,11.39999999999998,1e-05,0.007,0,-0.01380582173376,0.2504188362768958,0
115,115,11.49999999999998,1e-05,0.007,0,-0.0135174086960016,0.2463737599717785,0
